Statistical profiling result from isolate-0x128008000-42789-v8.log, (7305 ticks, 988 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *__spread /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:175:18
      2    0.0%    0.0%  LazyCompile: *__read /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:151:16
      2    0.0%    0.0%  LazyCompile: *NodeJSKernelBackend.executeSingleOutput /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/nodejs_kernel_backend.js:213:66
      2    0.0%    0.0%  LazyCompile: *Engine.runKernelFunc /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4546:47
      2    0.0%    0.0%  Function: ^value /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs/dist/tf.node.js:2466:12
      2    0.0%    0.0%  Function: ^saveFunc_1 /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4614:39
      2    0.0%    0.0%  Function: ^checkPadOnDimRoundingMode /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:12696:35
      2    0.0%    0.0%  Function: ^Engine.trackTensor /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4780:45
      2    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:28966:27
      1    0.0%    0.0%  RegExp: ;\s*charset\s*=
      1    0.0%    0.0%  RegExp: (\[[^[\]]*]) {5}
      1    0.0%    0.0%  RegExp: (\[[^[\]]*]) {3}
      1    0.0%    0.0%  RegExp: (\[[^[\]]*]) {1}
      1    0.0%    0.0%  RegExp: (\[[^[\]]*])
      1    0.0%    0.0%  RegExp: (?:^|\W)100-continue(?:$|\W)
      1    0.0%    0.0%  LazyCompile: *walkTensorContainer /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4063:29
      1    0.0%    0.0%  LazyCompile: *value /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:3872:21
      1    0.0%    0.0%  LazyCompile: *value /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:10399:21
      1    0.0%    0.0%  LazyCompile: *tidy /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:8900:14
      1    0.0%    0.0%  LazyCompile: *tensor1d /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:20458:18
      1    0.0%    0.0%  LazyCompile: *shift node:internal/fixed_queue:80:8
      1    0.0%    0.0%  LazyCompile: *kernelFunc /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/kernels/Concat.js:24:26
      1    0.0%    0.0%  LazyCompile: *isTypedArray /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:741:22
      1    0.0%    0.0%  LazyCompile: *executeOp$g /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:27776:28
      1    0.0%    0.0%  LazyCompile: *executeOp$5 /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:28649:28
      1    0.0%    0.0%  LazyCompile: *createTensorsTypeOpAttr /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/nodejs_kernel_backend.js:651:33
      1    0.0%    0.0%  LazyCompile: *__spread /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:226:18
      1    0.0%    0.0%  LazyCompile: *Tensor.dispose /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:3811:41
      1    0.0%    0.0%  LazyCompile: *Tensor.dataSync /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:3771:42
      1    0.0%    0.0%  LazyCompile: *NodeJSKernelBackend.numDataIds /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/nodejs_kernel_backend.js:230:57
      1    0.0%    0.0%  LazyCompile: *NodeJSKernelBackend.executeSingleInput /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/nodejs_kernel_backend.js:202:65
      1    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
